Meal,Station,Food Name,Ounces,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Calcium,Iron,Potassium,is_vegetarian,is_vegan,is_halal,allergens
All Day,Market Salads,Tuna Salad,8.21,424,24.59g,3.42g,0g,99.76mg,1801.37mg,7.26g,1.21g,0.49g,39.52g,95.32mg,3.7mg,709.13mg,False,False,False,"soy,eggs,alcohol"
All Day,Market Salads,Vegan Chicken Caesar Salad,13.06,544,33.86g,1.04g,0g,0mg,1329.55mg,31.2g,5.18g,6.62g,21.1g,99.67mg,4.44mg,542.71mg,True,True,False,"soy,gluten,wheat,dairy,alcohol"
All Day,Market Salads,Pepper Steak Salad,12.8,824,56.27g,11.28g,0g,133.58mg,1203.81mg,28.99g,6.06g,17.74g,51.26g,229.47mg,5.8mg,1100.63mg,False,False,False,"dairy,alcohol"
All Day,Market Beverages,Standard Beverage,,0,0,0,0Cholesterol,0,0,0,0,0Includes,0,0,0,0,False,False,False,
All Day,Market Beverages,Premium Beverage,,0,0,0,0Cholesterol,0,0,0,0,0Includes,0,0,0,0,False,False,False,
All Day,Sides,Sea Salt Kettle Chips,1.52,231,13g,1.5g,0g,0mg,180mg,25g,2g,0g,3g,0mg,0mg,0mg,True,True,False,
All Day,Sides,BBQ Kettle Chips,1.5,213,12.11g,1.51g,0g,0mg,302.86mg,25.74g,1.51g,1.51g,3.03g,7.57mg,0.61mg,575.42mg,True,True,False,
All Day,Sides,Smartfood White Cheddar Popcorn,1.5,243,15.14g,3.03g,0g,7.57mg,302.86mg,22.71g,3.03g,3.03g,4.54g,54.51mg,0.45mg,151.43mg,True,False,False,dairy
All Day,Sides,Apple,5,74,0.24g,0.04g,0g,0mg,1.42mg,19.55g,3.4g,14.71g,0.37g,8.5mg,0.17mg,151.51mg,True,True,False,
All Day,Sides,Banana,5,126,0.47g,0.16g,0g,0mg,1.42mg,32.34g,3.68g,17.32g,1.54g,7.08mg,0.37mg,506.93mg,True,True,False,
All Day,Sides,Oranges,5,67,0.17g,0.03g,0g,0mg,0mg,16.64g,3.4g,13.24g,1.33g,56.64mg,0.14mg,256.3mg,True,True,False,
All Day,Sides,Orange Juice,8,107,0.27g,0.05g,0g,0mg,0mg,26.64g,5.44g,21.2g,2.13g,90.68mg,0.23mg,410.33mg,True,True,False,
All Day,Sides,Apple Juice,8,104,0.29g,0.05g,0g,0mg,9.07mg,25.62g,0.45g,21.81g,0.23g,18.14mg,0.27mg,228.97mg,True,True,False,
All Day,Sides,Lowfat Milk,8,96,2.2g,1.43g,0g,11.34mg,99.75mg,11.31g,0g,11.79g,7.64g,283.38mg,0.07mg,340.05mg,True,False,False,dairy
All Day,Sides,Chocolate Milk,8,171,2.36g,1.41g,0g,13.6mg,226.7mg,27.43g,0g,26.52g,10.38g,378.59mg,0.68mg,0mg,True,False,False,dairy
All Day,Sides,Nonfat Milk,8,77,0.18g,0.11g,0g,4.53mg,95.21mg,11.24g,0g,11.54g,7.64g,276.57mg,0.07mg,353.65mg,True,False,False,dairy
All Day,Sides,Soy Milk,8,103,4.51g,0.48g,0g,0mg,113.35mg,7.82g,0.91g,5.74g,6.66g,317.38mg,1.11mg,319.65mg,True,True,False,soy
All Day,Sides,Assorted Cereal Cups,1.94,193,1.03g,0g,0g,0mg,199.01mg,46.67g,4.8g,19.22g,3.43g,0mg,0mg,281.36mg,True,True,False,"wheat,dairy"
All Day,Sides,Chocolate-Hazelnut & Seasonal Fresh Fruit Crepe,7.93,351,10.58g,2.88g,0g,48.18mg,312.69mg,55.37g,4.54g,19.68g,8.83g,90.87mg,1.6mg,153.76mg,True,False,False,"soy,gluten,wheat,dairy,eggs"
